Name;Сause;Value
m;Категория трубопровода и его участка - B;0,66
m;Категория трубопровода и его участка - I;0,825
m;Категория трубопровода и его участка - II;0,825
m;Категория трубопровода и его участка - III;0,99
m;Категория трубопровода и его участка - IV;0,99
kн;Если номинальный диаметр 500 и менее и P<= 5,5 МПа;1,1
kн;Если номинальный диаметр 500 и менее и 5,5 < P <= 7,5 МПа;1,1
kн;Если номинальный диаметр 500 и менее и 7,5 < P <= 10 МПа;1,1
kн;Если номинальный диаметр 600-1000 и P<= 5,5 МПа;1,1
kн;Если номинальный диаметр 600-1000 и 5,5 < P <= 7,5 МПа;1,1
kн;Если номинальный диаметр 600-1000 и 7,5 < P <= 10 МПа;1,155
kн;Если номинальный диаметр 1200 и P<= 5,5 МПа;1,155
kн;Если номинальный диаметр 1200 и 5,5 < P <= 7,5 МПа;1,155
kн;Если номинальный диаметр 1200 и 7,5 < P <= 10 МПа;1,21
kн;Если номинальный диаметр 1400 и P<= 5,5 МПа;1,155
kн;Если номинальный диаметр 1400 и 5,5 < P <= 7,5 МПа;1,21
kн;Если номинальный диаметр 1400 и 7,5 < P <= 10 МПа;1,265
np;Постоянный трубопровод, Воздействие: Масса трубопровода и обустройств, Подземный, наземный или Надземный.;1,1
np;"Постоянный трубопровод, Воздействие: Воздействие предварительного
 напряжения трубопровода (упругий изгиб и др), Подземный, наземный, надземный.";1,1
np;"Постоянный трубопровод, Воздействие: Давление грунта,
Подземный, наземный";1,2
np;"Постоянный трубопровод, Воздействие: Гидростатическое давление воды,
Подземный";1
np;"Временный длительный трубопровод, Воздействие: Внутренне давление для
нефтепроводов номинальным диаметром 700 - 1200 и нефтепродуктопроводов
номинальным диаметром 700 с промежуточными НПС, ПС без подключения
емкостей, Подземный, наземный или надземный";1,15
np;"Временный длительный трубопровод, Воздействие: Внутренне давление для
нефтепроводов номинальным диаметром 700 - 1200 и нефтепродуктопроводов
номинальным диаметром 700 без промежуточный или с промежуточными НПС,
ПС, работающими постоянно только с подключённой емкостью, а также для
нефтепроводов и нефтепродуктопроводов номинальным диаметром менее 700,
Подземный, наземный или надземный";1,1
np;"Временный длительный трубопровод, Воздействие: Масса продукта или воды,
Подземный, наземный или надземный";1
np;"Временный длительный трубопровод, Воздействие: Температурные воздействия,
Подземный, наземный или надземный";1
np;"Временный длительный трубопровод, Воздействие: Неравномерное диформации,
грунта, не сопровождающихся изменением его структуры,
Подземный, наземный или надземный";1,5
np;Кратковременный трубопровод, Воздействие: Снеговая нагрузка, Надземный;1,4
np;Кратковременный трубопровод, Воздействие: Ветровая нагрузка, Надземный;1,2
np;Кратковременный трубопровод, Воздействие: Гололёдная нагрузка, Надземный;1,3
np;"Кратковременный трубопровод, Воздействие: Нагрузка вызывемая морозным
растрескиванием грунта, Подземный, наземный";1,2
np;"Кратковременный трубопровод, Воздействие: Нагрузка возникающая при пропуске
очистных устройств, Подземный, наземный и надземный";1,2
np;"Кратковременный трубопровод, Воздействие: Нагрузка возникающая при испытании
трубопроводов, Подземный, наземный и надземный";1
np;"Кратковременный трубопровод, Воздействие: Воздействие селевых потоков
и оползней, Подземный, наземный и надземный";1
np;"Особый трубопровод, Воздействие: Воздействие деформаций земной поверхности
в районах горных выработок и кратовых районах, Подземный, наземный и надземный";1
np;"Особый трубопровод, Воздействие: Воздействие деформаций грунта, сопровождающихся
изменением его структуры, Подземный, наземный и надземный";1
np;"Особый трубопровод, Воздействие: Воздействия, вызываемые развитием
солифлюкционных и термокарстовых процессов, Подземный, наземный";1,05
