Q;v
1,30E+04;2,88E+00
1,28E+04;2,87E+00
1,27E+04;2,86E+00
1,25E+04;2,85E+00
1,23E+04;2,83E+00
1,22E+04;2,82E+00
1,20E+04;2,80E+00
1,18E+04;2,78E+00
1,16E+04;2,77E+00
1,15E+04;2,77E+00
1,13E+04;2,75E+00
1,11E+04;2,74E+00
1,10E+04;2,73E+00
1,07E+04;2,70E+00
1,05E+04;2,68E+00
1,03E+04;2,67E+00
1,02E+04;2,64E+00
9,99E+03;2,63E+00
9,82E+03;2,61E+00
9,68E+03;2,59E+00
9,52E+03;2,58E+00
9,33E+03;2,56E+00
9,19E+03;2,54E+00
9,07E+03;2,52E+00
8,98E+03;2,51E+00
8,81E+03;2,50E+00
8,60E+03;2,48E+00
8,39E+03;2,45E+00
8,25E+03;2,43E+00
8,14E+03;2,42E+00
7,99E+03;2,41E+00
7,83E+03;2,39E+00
7,72E+03;2,38E+00
7,60E+03;2,36E+00
7,44E+03;2,34E+00
7,30E+03;2,33E+00
7,16E+03;2,32E+00
6,99E+03;2,30E+00
6,81E+03;2,28E+00
6,64E+03;2,26E+00
6,43E+03;2,23E+00
6,15E+03;2,21E+00
5,91E+03;2,18E+00
5,70E+03;2,14E+00
5,52E+03;2,12E+00
5,35E+03;2,09E+00
5,12E+03;2,05E+00
4,98E+03;2,04E+00
4,82E+03;2,01E+00
4,63E+03;1,98E+00
4,40E+03;1,95E+00
4,16E+03;1,91E+00
3,91E+03;1,87E+00
3,74E+03;1,85E+00
3,53E+03;1,81E+00
3,37E+03;1,77E+00
3,18E+03;1,74E+00
2,97E+03;1,69E+00
2,85E+03;1,67E+00
2,73E+03;1,64E+00
2,57E+03;1,60E+00
2,41E+03;1,58E+00
2,20E+03;1,53E+00
1,96E+03;1,49E+00
1,73E+03;1,43E+00
1,57E+03;1,39E+00
1,40E+03;1,33E+00
1,26E+03;1,29E+00
1,14E+03;1,24E+00
9,96E+02;1,19E+00
8,39E+02;1,13E+00
7,69E+02;1,09E+00
6,64E+02;1,03E+00
5,94E+02;9,91E-01
4,89E+02;9,28E-01
3,84E+02;8,65E-01
2,80E+02;8,11E-01
1,75E+02;7,48E-01
1,05E+02;7,12E-01
